[ INFO ] 12\20\2019 , 20:26 :  Music Added
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate intersected with The Stick
[ FINE ] 12\20\2019 , 20:50 :  Plate transitioned To Stacked State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate intersected with The Stick
[ FINE ] 12\20\2019 , 20:50 :  Plate transitioned To Stacked State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate intersected with The Stick
[ FINE ] 12\20\2019 , 20:50 :  Plate transitioned To Stacked State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate intersected with The Stick
[ FINE ] 12\20\2019 , 20:50 :  Plate transitioned To Stacked State
[ INFO ] 12\20\2019 , 20:50 :  Plate intersected with The Stick
[ FINE ] 12\20\2019 , 20:50 :  Plate transitioned To Stacked State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate intersected with The Stick
[ FINE ] 12\20\2019 , 20:50 :  Plate transitioned To Stacked State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ CONFIG ] 12\20\2019 , 20:50 :  Special Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Special Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to Falling State
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ FINE ] 12\20\2019 , 20:50 :  Plate Transitioned to OnShelfState
[ INFO ] 12\20\2019 , 20:50 :  Plate Created
[ INFO ] 12\20\2019 , 20:50 :  Plate intersected with The Stick
